year,GEOID,NAME,variable,estimate
2009,5000710675,"Burlington city, Chittenden County, Vermont",Non-Mortgaged SMOC,682
2009,5000713300,"Charlotte town, Chittenden County, Vermont",Mortgaged SMOC,2369
2009,5000713300,"Charlotte town, Chittenden County, Vermont",Non-Mortgaged SMOC,763
2009,5000714875,"Colchester town, Chittenden County, Vermont",Mortgaged SMOC,1661
2009,5000714875,"Colchester town, Chittenden County, Vermont",Non-Mortgaged SMOC,594
2009,5000724175,"Essex town, Chittenden County, Vermont",Mortgaged SMOC,1765
2009,5000724175,"Essex town, Chittenden County, Vermont",Non-Mortgaged SMOC,673
2009,5000733475,"Hinesburg town, Chittenden County, Vermont",Mortgaged SMOC,1551
2009,5000733475,"Hinesburg town, Chittenden County, Vermont",Non-Mortgaged SMOC,648
2009,5000734600,"Huntington town, Chittenden County, Vermont",Mortgaged SMOC,1600
2009,5000734600,"Huntington town, Chittenden County, Vermont",Non-Mortgaged SMOC,562
2009,5000736700,"Jericho town, Chittenden County, Vermont",Mortgaged SMOC,1683
2009,5000736700,"Jericho town, Chittenden County, Vermont",Non-Mortgaged SMOC,620
2009,5000745250,"Milton town, Chittenden County, Vermont",Mortgaged SMOC,1646
2009,5000745250,"Milton town, Chittenden County, Vermont",Non-Mortgaged SMOC,566
2009,5000759275,"Richmond town, Chittenden County, Vermont",Mortgaged SMOC,1817
2009,5000759275,"Richmond town, Chittenden County, Vermont",Non-Mortgaged SMOC,622
2009,5000762050,"St. George town, Chittenden County, Vermont",Mortgaged SMOC,1468
2009,5000762050,"St. George town, Chittenden County, Vermont",Non-Mortgaged SMOC,538
2009,5000764300,"Shelburne town, Chittenden County, Vermont",Mortgaged SMOC,2042
2009,5000764300,"Shelburne town, Chittenden County, Vermont",Non-Mortgaged SMOC,784
2009,5000766175,"South Burlington city, Chittenden County, Vermont",Mortgaged SMOC,1757
2009,5000766175,"South Burlington city, Chittenden County, Vermont",Non-Mortgaged SMOC,650
2009,5000773975,"Underhill town, Chittenden County, Vermont",Mortgaged SMOC,1828
2009,5000773975,"Underhill town, Chittenden County, Vermont",Non-Mortgaged SMOC,673
2009,5000780350,"Westford town, Chittenden County, Vermont",Mortgaged SMOC,1892
2009,5000780350,"Westford town, Chittenden County, Vermont",Non-Mortgaged SMOC,564
2009,5000784475,"Williston town, Chittenden County, Vermont",Mortgaged SMOC,1795
2009,5000784475,"Williston town, Chittenden County, Vermont",Non-Mortgaged SMOC,696
2009,5000785150,"Winooski city, Chittenden County, Vermont",Mortgaged SMOC,1444
2009,5000785150,"Winooski city, Chittenden County, Vermont",Non-Mortgaged SMOC,645
2009,5000902125,"Averill town, Essex County, Vermont",Mortgaged SMOC,NA
2009,5000902125,"Averill town, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5000902162,"Avery's gore, Essex County, Vermont",Mortgaged SMOC,NA
2009,5000902162,"Avery's gore, Essex County, Vermont",Non-Mortgaged SMOC,NA
2009,5000906325,"Bloomfield town, Essex County, Vermont",Mortgaged SMOC,1021
2009,5000906325,"Bloomfield town, Essex County, Vermont",Non-Mortgaged SMOC,308
2009,5000908725,"Brighton town, Essex County, Vermont",Mortgaged SMOC,1069
2009,5000908725,"Brighton town, Essex County, Vermont",Non-Mortgaged SMOC,428
2009,5000910075,"Brunswick town, Essex County, Vermont",Mortgaged SMOC,890
2009,5000910075,"Brunswick town, Essex County, Vermont",Non-Mortgaged SMOC,325
2009,5000911800,"Canaan town, Essex County, Vermont",Mortgaged SMOC,988
2009,5000911800,"Canaan town, Essex County, Vermont",Non-Mortgaged SMOC,433
2009,5000915250,"Concord town, Essex County, Vermont",Mortgaged SMOC,888
2009,5000915250,"Concord town, Essex County, Vermont",Non-Mortgaged SMOC,359
2009,5000921250,"East Haven town, Essex County, Vermont",Mortgaged SMOC,1119
2009,5000921250,"East Haven town, Essex County, Vermont",Non-Mortgaged SMOC,348
