year,GEOID,NAME,Unemployment_Rate
2011,5000502875,"Barnet town, Caledonia County, Vermont",4.3
2011,5000510450,"Burke town, Caledonia County, Vermont",7.5
2011,5000517125,"Danville town, Caledonia County, Vermont",4.5
2011,5000530550,"Groton town, Caledonia County, Vermont",6
2011,5000531825,"Hardwick town, Caledonia County, Vermont",4.9
2011,5000537900,"Kirby town, Caledonia County, Vermont",5.1
2011,5000541725,"Lyndon town, Caledonia County, Vermont",9.6
2011,5000547725,"Newark town, Caledonia County, Vermont",9.7
2011,5000554400,"Peacham town, Caledonia County, Vermont",0
2011,5000561525,"Ryegate town, Caledonia County, Vermont",4.4
2011,5000562200,"St. Johnsbury town, Caledonia County, Vermont",6.4
2011,5000564075,"Sheffield town, Caledonia County, Vermont",12.3
2011,5000569925,"Stannard town, Caledonia County, Vermont",12.2
2011,5000571575,"Sutton town, Caledonia County, Vermont",10
2011,5000575700,"Walden town, Caledonia County, Vermont",6.9
2011,5000577125,"Waterford town, Caledonia County, Vermont",5.2
2011,5000583500,"Wheelock town, Caledonia County, Vermont",1.8
2011,5000706550,"Bolton town, Chittenden County, Vermont",9
2011,5000710300,"Buels gore, Chittenden County, Vermont",18.2
2011,5000710675,"Burlington city, Chittenden County, Vermont",8.1
2011,5000713300,"Charlotte town, Chittenden County, Vermont",6.9
2011,5000714875,"Colchester town, Chittenden County, Vermont",4.6
2011,5000724175,"Essex town, Chittenden County, Vermont",4.1
2011,5000733475,"Hinesburg town, Chittenden County, Vermont",2.7
2011,5000734600,"Huntington town, Chittenden County, Vermont",4.4
2011,5000736700,"Jericho town, Chittenden County, Vermont",3.5
2011,5000745250,"Milton town, Chittenden County, Vermont",4
2011,5000759275,"Richmond town, Chittenden County, Vermont",2.9
2011,5000762050,"St. George town, Chittenden County, Vermont",4.1
2011,5000764300,"Shelburne town, Chittenden County, Vermont",4.2
2011,5000766175,"South Burlington city, Chittenden County, Vermont",4
2011,5000773975,"Underhill town, Chittenden County, Vermont",2.6
2011,5000780350,"Westford town, Chittenden County, Vermont",5.9
2011,5000784475,"Williston town, Chittenden County, Vermont",4
2011,5000785150,"Winooski city, Chittenden County, Vermont",7
2011,5000902125,"Averill town, Essex County, Vermont",NA
2011,5000902162,"Avery's gore, Essex County, Vermont",NA
2011,5000906325,"Bloomfield town, Essex County, Vermont",6
2011,5000908725,"Brighton town, Essex County, Vermont",8.4
2011,5000910075,"Brunswick town, Essex County, Vermont",12.1
2011,5000911800,"Canaan town, Essex County, Vermont",14.2
2011,5000915250,"Concord town, Essex County, Vermont",7.8
2011,5000921250,"East Haven town, Essex County, Vermont",9.9
2011,5000925975,"Ferdinand town, Essex County, Vermont",12.5
2011,5000929125,"Granby town, Essex County, Vermont",9.3
2011,5000930775,"Guildhall town, Essex County, Vermont",4
2011,5000939700,"Lemington town, Essex County, Vermont",0
2011,5000939775,"Lewis town, Essex County, Vermont",NA
2011,5000941425,"Lunenburg town, Essex County, Vermont",7.3
2011,5000942475,"Maidstone town, Essex County, Vermont",16.4
2011,5000952750,"Norton town, Essex County, Vermont",9
2011,5000975175,"Victory town, Essex County, Vermont",16.7
2011,5000976337,"Warner's grant, Essex County, Vermont",NA
2011,5000976562,"Warren's gore, Essex County, Vermont",0
2011,5001102500,"Bakersfield town, Franklin County, Vermont",10.3
2011,5001105425,"Berkshire town, Franklin County, Vermont",10
2011,5001123875,"Enosburg town, Franklin County, Vermont",8.5
2011,5001124925,"Fairfax town, Franklin County, Vermont",2.5
2011,5001125225,"Fairfield town, Franklin County, Vermont",6.1
2011,5001126500,"Fletcher town, Franklin County, Vermont",8.9
2011,5001127100,"Franklin town, Franklin County, Vermont",2.7
2011,5001127700,"Georgia town, Franklin County, Vermont",4.8
2011,5001133025,"Highgate town, Franklin County, Vermont",10.5
2011,5001145850,"Montgomery town, Franklin County, Vermont",8.5
2011,5001159125,"Richford town, Franklin County, Vermont",9.7
2011,5001161675,"St. Albans city, Franklin County, Vermont",7.3
2011,5001161750,"St. Albans town, Franklin County, Vermont",6.3
2011,5001164600,"Sheldon town, Franklin County, Vermont",5.7
2011,5001171725,"Swanton town, Franklin County, Vermont",5.8
2011,5001300700,"Alburg town, Grand Isle County, Vermont",14.1
2011,5001329275,"Grand Isle town, Grand Isle County, Vermont",2.8
2011,5001335875,"Isle La Motte town, Grand Isle County, Vermont",12
2011,5001350650,"North Hero town, Grand Isle County, Vermont",4.3
2011,5001367000,"South Hero town, Grand Isle County, Vermont",5.4
2011,5001504375,"Belvidere town, Lamoille County, Vermont",7.7
2011,5001511500,"Cambridge town, Lamoille County, Vermont",4
2011,5001523500,"Eden town, Lamoille County, Vermont",3.7
2011,5001523725,"Elmore town, Lamoille County, Vermont",4.6
2011,5001535050,"Hyde Park town, Lamoille County, Vermont",7.7
2011,5001537075,"Johnson town, Lamoille County, Vermont",9.1
2011,5001546675,"Morristown town, Lamoille County, Vermont",3.3
2011,5001570525,"Stowe town, Lamoille County, Vermont",2.8
2011,5001577425,"Waterville town, Lamoille County, Vermont",3.6
2011,5001585375,"Wolcott town, Lamoille County, Vermont",4.7
2011,5001707375,"Bradford town, Orange County, Vermont",6.7
2011,5001707600,"Braintree town, Orange County, Vermont",4.5
2011,5001709325,"Brookfield town, Orange County, Vermont",5.2
2011,5001713525,"Chelsea town, Orange County, Vermont",4.1
2011,5001715700,"Corinth town, Orange County, Vermont",8.9
2011,5001725675,"Fairlee town, Orange County, Vermont",3.9
2011,5001748175,"Newbury town, Orange County, Vermont",7.2
2011,5001753425,"Orange town, Orange County, Vermont",7.1
2011,5001758075,"Randolph town, Orange County, Vermont",10.6
2011,5001770675,"Strafford town, Orange County, Vermont",3.3
2011,5001772400,"Thetford town, Orange County, Vermont",3
2011,5001773075,"Topsham town, Orange County, Vermont",9.1
2011,5001773675,"Tunbridge town, Orange County, Vermont",4.2
2011,5001774950,"Vershire town, Orange County, Vermont",10.5
2011,5001776750,"Washington town, Orange County, Vermont",7.1
2011,5001779975,"West Fairlee town, Orange County, Vermont",3.4
2011,5001784175,"Williamstown town, Orange County, Vermont",4.7
2011,5001900475,"Albany town, Orleans County, Vermont",6.8
2011,5001903550,"Barton town, Orleans County, Vermont",11.4
2011,5001909850,"Brownington town, Orleans County, Vermont",10.5
2011,5001913150,"Charleston town, Orleans County, Vermont",8
2011,5001916150,"Coventry town, Orleans County, Vermont",7.2
2011,5001916300,"Craftsbury town, Orleans County, Vermont",5.3
2011,5001917350,"Derby town, Orleans County, Vermont",6
2011,5001928075,"Glover town, Orleans County, Vermont",3.7
2011,5001930175,"Greensboro town, Orleans County, Vermont",6.8
2011,5001933775,"Holland town, Orleans County, Vermont",3
2011,5001935575,"Irasburg town, Orleans County, Vermont",8.7
2011,5001936325,"Jay town, Orleans County, Vermont",9.1
2011,5001940525,"Lowell town, Orleans County, Vermont",14.5
2011,5001946450,"Morgan town, Orleans County, Vermont",2
2011,5001948850,"Newport city, Orleans County, Vermont",9.7
2011,5001948925,"Newport town, Orleans County, Vermont",5.9
2011,5001973525,"Troy town, Orleans County, Vermont",5.8
2011,5001980200,"Westfield town, Orleans County, Vermont",6.9
2011,5001981700,"Westmore town, Orleans County, Vermont",4
2011,5002105200,"Benson town, Rutland County, Vermont",7.4
2011,5002107750,"Brandon town, Rutland County, Vermont",6.6
2011,5002111950,"Castleton town, Rutland County, Vermont",7.4
2011,5002114350,"Chittenden town, Rutland County, Vermont",6.7
2011,5002114500,"Clarendon town, Rutland County, Vermont",8.2
2011,5002116825,"Danby town, Rutland County, Vermont",2.3
2011,5002125375,"Fair Haven town, Rutland County, Vermont",8.8
2011,5002134450,"Hubbardton town, Rutland County, Vermont",2.7
2011,5002135425,"Ira town, Rutland County, Vermont",9.7
2011,5002137685,"Killington town, Rutland County, Vermont",8
2011,5002144125,"Mendon town, Rutland County, Vermont",7.7
2011,5002144800,"Middletown Springs town, Rutland County, Vermont",8.4
2011,5002147200,"Mount Holly town, Rutland County, Vermont",11.7
2011,5002147425,"Mount Tabor town, Rutland County, Vermont",13.1
2011,5002154250,"Pawlet town, Rutland County, Vermont",6.9
2011,5002155450,"Pittsfield town, Rutland County, Vermont",6.5
2011,5002155600,"Pittsford town, Rutland County, Vermont",2.9
2011,5002156875,"Poultney town, Rutland County, Vermont",10.5
2011,5002157250,"Proctor town, Rutland County, Vermont",6
2011,5002161225,"Rutland city, Rutland County, Vermont",10.4
2011,5002161300,"Rutland town, Rutland County, Vermont",9.4
2011,5002165275,"Shrewsbury town, Rutland County, Vermont",6.7
2011,5002171050,"Sudbury town, Rutland County, Vermont",3.8
2011,5002172925,"Tinmouth town, Rutland County, Vermont",1.7
2011,5002175925,"Wallingford town, Rutland County, Vermont",8.3
2011,5002177950,"Wells town, Rutland County, Vermont",5.8
2011,5002180875,"West Haven town, Rutland County, Vermont",7.3
2011,5002182300,"West Rutland town, Rutland County, Vermont",16.3
2011,5002303175,"Barre city, Washington County, Vermont",8.9
2011,5002303250,"Barre town, Washington County, Vermont",3.1
2011,5002305650,"Berlin town, Washington County, Vermont",4.6
2011,5002311125,"Cabot town, Washington County, Vermont",3.6
2011,5002311350,"Calais town, Washington County, Vermont",5.1
2011,5002318550,"Duxbury town, Washington County, Vermont",2.6
2011,5002321925,"East Montpelier town, Washington County, Vermont",4.3
2011,5002325825,"Fayston town, Washington County, Vermont",1.4
2011,5002343600,"Marshfield town, Washington County, Vermont",5.2
2011,5002344500,"Middlesex town, Washington County, Vermont",2.3
2011,5002346000,"Montpelier city, Washington County, Vermont",5.6
2011,5002346225,"Moretown town, Washington County, Vermont",3.5
2011,5002350275,"Northfield town, Washington County, Vermont",6.7
2011,5002355825,"Plainfield town, Washington County, Vermont",8.1
2011,5002360625,"Roxbury town, Washington County, Vermont",11.4
2011,5002375325,"Waitsfield town, Washington County, Vermont",4.5
2011,5002376525,"Warren town, Washington County, Vermont",3.6
2011,5002376975,"Waterbury town, Washington County, Vermont",5
2011,5002385525,"Woodbury town, Washington County, Vermont",2.9
2011,5002386125,"Worcester town, Washington County, Vermont",4.7
2011,5002501900,"Athens town, Windham County, Vermont",15.8
2011,5002507900,"Brattleboro town, Windham County, Vermont",7.4
2011,5002509475,"Brookline town, Windham County, Vermont",5.6
2011,5002517875,"Dover town, Windham County, Vermont",8.5
2011,5002518325,"Dummerston town, Windham County, Vermont",1.3
